DATE,FII_Net_Purchase_Sales,DII_Net_Purchase_Sales,Total_Net
24-Oct-24,"-5,062.40","3,620.50",-1441.8999999999996
23-Oct-24,"-5,684.60","6,039.90",355.2999999999993
22-Oct-24,"-3,978.60","5,869.10",1890.5000000000005
21-Oct-24,"-2,261.80","3,225.90",964.0999999999999
18-Oct-24,"-5,485.70","5,214.80",-270.89999999999964
17-Oct-24,"-7,421.40","4,979.80",-2441.5999999999995
16-Oct-24,"-3,435.90","2,256.30",-1179.6
15-Oct-24,"-1,748.70","1,655",-93.70000000000005
14-Oct-24,"-3,731.60","2,278.10",-1453.5
11-Oct-24,"-4,162.70","3,730.90",-431.7999999999997
10-Oct-24,"-4,926.60","3,878.30",-1048.3000000000002
09-Oct-24,"-4,562.70","3,508.60",-1054.1
08-Oct-24,"-5,729.60","7,000.70",1271.0999999999995
07-Oct-24,"-8,293.40","13,245.10",4951.700000000001
04-Oct-24,"-9,897","8,905.10",-991.8999999999996
03-Oct-24,"-15,243.30","12,914",-2329.2999999999993
01-Oct-24,"-5,579.40","4,609.60",-969.7999999999993
30-Sep-24,"-9,791.90","6,645.80",-3146.0999999999995
27-Sep-24,"-1,209.10","6,886.60",5677.5
26-Sep-24,630,"2,405.10",3035.1
25-Sep-24,-973.9,"1,779",805.1
24-Sep-24,"-2,784.10","3,868.30",1084.2000000000003
23-Sep-24,404.4,"1,022.60",1427.0
20-Sep-24,"14,064","-4,427.10",9636.9
19-Sep-24,"-2,547.50","2,012.90",-534.5999999999999
18-Sep-24,"1,153.70",152.3,1306.0
17-Sep-24,482.7,874.2,1356.9
16-Sep-24,"-1,635",754.1,-880.9
13-Sep-24,"2,364.80","2,532.20",4897.0
12-Sep-24,"7,695","-1,800.50",5894.5
11-Sep-24,"1,755",230.9,1985.9
10-Sep-24,"2,208.20",-275.4,1932.7999999999997
09-Sep-24,"1,176.60","1,757",2933.6
06-Sep-24,-621,"2,121.50",1500.5
05-Sep-24,-688.7,"2,970.70",2282.0
04-Sep-24,975.5,97.4,1072.9
03-Sep-24,"1,029.20","1,896.20",2925.4
02-Sep-24,"1,735.50",356.4,2091.9
30-Aug-24,"5,318.10","-3,198.10",2120.0000000000005
29-Aug-24,"3,259.60","2,690.80",5950.4
28-Aug-24,"-1,347.50",439.4,-908.1
27-Aug-24,"1,503.80",-604.1,899.6999999999999
26-Aug-24,483.4,"1,870.20",2353.6
23-Aug-24,"1,944.50","2,896",4840.5
22-Aug-24,"1,371.80","2,971.80",4343.6
21-Aug-24,-799.7,"3,097.40",2297.7
20-Aug-24,"-1,458","2,252.10",794.0999999999999
19-Aug-24,"-2,667.50","1,802.90",-864.5999999999999
16-Aug-24,766.5,"2,606.20",3372.7
14-Aug-24,"-2,595.30","2,236.20",-359.10000000000036
13-Aug-24,"-2,107.20","1,240",-867.1999999999998
12-Aug-24,"-4,680.50","4,477.70",-202.80000000000018
09-Aug-24,406.7,"3,979.60",4386.3
08-Aug-24,"-2,626.70",577.3,-2049.3999999999996
07-Aug-24,"-3,314.80","3,801.20",486.39999999999964
06-Aug-24,"-3,531.20","3,357.40",-173.79999999999973
05-Aug-24,"-10,073.80","9,155.60",-918.1999999999989
02-Aug-24,"-3,310","2,965.90",-344.0999999999999
01-Aug-24,"2,089.30",-337,1752.3000000000002
31-Jul-24,"-3,462.40","3,366.50",-95.90000000000009
30-Jul-24,"-5,598.60","5,565.10",-33.5
29-Jul-24,"-2,474.50","5,665.50",3191.0
26-Jul-24,"2,546.40","2,774.30",5320.700000000001
25-Jul-24,"-2,605.50","2,431.70",-173.80000000000018
24-Jul-24,"-5,130.90","3,137.30",-1993.5999999999995
23-Jul-24,"-2,975.30","1,418.80",-1556.5000000000002
22-Jul-24,"3,444.10","-1,652.30",1791.8
19-Jul-24,"1,506.10",-461.6,1044.5
18-Jul-24,"5,483.60","-2,904.20",2579.4000000000005
16-Jul-24,"1,271.40",-529.5,741.9000000000001
15-Jul-24,"2,684.80",-331,2353.8
12-Jul-24,"4,021.60","-1,651.40",2370.2
11-Jul-24,"-1,137","1,676.50",539.5
10-Jul-24,584,"1,082.40",1666.4
09-Jul-24,314.5,"1,416.50",1731.0
08-Jul-24,61,"2,866.80",2927.8
05-Jul-24,"1,241.30","-1,651.40",-410.10000000000014
04-Jul-24,"2,575.80","-2,375.20",200.60000000000036
03-Jul-24,"5,483.60",-924.4,4559.200000000001
02-Jul-24,"-2,000.10",648.2,-1351.8999999999999
01-Jul-24,-426,"3,917.40",3491.4
28-Jun-24,-23.1,"6,658.30",6635.2
27-Jun-24,"7,658.80","-3,605.90",4052.9
26-Jun-24,"-3,535.40","5,103.70",1568.2999999999997
25-Jun-24,"1,175.90",-149.4,1026.5
24-Jun-24,-654,-820.5,-1474.5
21-Jun-24,"-1,790.20","1,237.20",-553.0
20-Jun-24,415.3,-325.8,89.5
19-Jun-24,"7,908.40","7,107.80",15016.2
18-Jun-24,"2,569.40","1,555.70",4125.1
14-Jun-24,"2,175.90",655.8,2831.7
13-Jun-24,"-3,033",-553.9,-3586.9
12-Jun-24,426.6,233.8,660.4000000000001
11-Jun-24,-111,"3,193.30",3082.3
10-Jun-24,"2,572.40","2,764.50",5336.9
07-Jun-24,"4,391","-1,289.80",3101.2
06-Jun-24,"-6,867.70","3,718.40",-3149.2999999999997
05-Jun-24,"-5,656.30","4,555.10",-1101.1999999999998
